,Band,Fans,Formed,Consciously Uncoupled,Country,Happiness Rank,Happiness Score,Whisker High,Whisker Low,GDP Per Capita,Family,Life Expectancy,Freedom,Generosity,Trust/Corruption,Dystopia Index
0,Iron Maiden,4195,1975,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
1,Black Sabbath,2307,1968,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
2,Judas Priest,2094,1969,1969,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
3,Anathema,1400,1990,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
4,Porcupine Tree,1094,1987,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
5,Cradle Of Filth,1084,1991,1991,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
6,Iron Maiden,4195,1975,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
7,Black Sabbath,2307,1968,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
8,Judas Priest,2094,1969,1969,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
9,Anathema,1400,1990,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
10,Porcupine Tree,1094,1987,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
11,Cradle Of Filth,1084,1991,1991,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
12,My Dying Bride,1069,1990,1990,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
13,Led Zeppelin,1054,1968,1980,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
14,Paradise Lost,1042,1988,1988,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
15,Carcass,1001,1985,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
16,Motörhead,875,1975,1975,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
17,Ozzy Osbourne,750,1979,1979,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
18,Deep Purple,714,1968,1968,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
19,DragonForce,607,1999,1999,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
20,Alestorm,558,2004,2004,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
21,Bolt Thrower,519,1986,2016,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
22,Napalm Death,516,1981,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
23,Rainbow,497,1975,1975,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
24,Venom,481,1979,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
25,Anaal Nathrakh,399,1998,1998,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
26,Saxon,387,1976,1976,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
27,Bullet For My Valentine,379,1998,1998,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
28,Steven Wilson,375,2003,2003,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
29,Electric Wizard,341,1993,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
30,King Crimson,319,1969,1969,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
31,Bruce Dickinson,315,1989,1989,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
32,Haken,293,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
33,Evile,285,2004,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
34,Sylosis,267,2000,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
35,Whitesnake,247,1978,1978,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
36,TesseracT,226,2003,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
37,Def Leppard,215,1977,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
38,Antimatter,213,1998,1998,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
39,Esoteric,207,1992,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
40,Threshold,199,1988,1988,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
41,A Forest Of Stars,186,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
42,Akercocke,184,1996,1996,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
43,Cathedral,172,1989,1989,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
44,Onslaught,162,1983,1983,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
45,Uriah Heep,151,1969,1969,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
46,Fen,148,2006,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
47,Halford,145,1999,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
48,Diamond Head,144,1976,1976,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
49,Gloryhammer,136,2010,2010,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
50,Bal-Sagoth,130,1989,1989,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
51,Saor,130,2013,2013,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
52,Godflesh,125,1988,1988,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
53,Skyclad,122,1990,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
54,Benediction,117,1989,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
55,Forefather,114,1997,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
56,Bring Me The Horizon,112,2004,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
57,Orange Goblin,108,1995,1995,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
58,Blackmore's Night,102,1997,1997,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
59,Marillion,100,1979,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
60,Angel Witch,98,1977,1977,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
61,Hell,97,1982,1982,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
62,Jesu,97,2003,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
63,Killing Joke,96,1979,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
64,Angtoria,94,2004,2011,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
65,Warning,91,1993,2009,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
66,Xerath,91,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
67,40 Watt Sun,90,2009,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
68,UFO,85,1969,1969,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
69,Fields Of The Nephilim,84,1984,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
70,Wodensthrone,82,2005,2016,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
71,Sabbat,80,1985,1985,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
72,Grim Reaper,79,1979,1988,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
73,Winterfylleth,78,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
74,Power Quest,77,2001,2001,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
75,SikTh,77,2001,2001,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
76,Vallenfyre,75,2010,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
77,Blaze Bayley,73,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
78,Bloodshot Dawn,73,2003,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
79,Satan,68,1979,1979,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
80,The Cult,67,1983,1983,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
81,To-Mera,65,2005,2005,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
82,Savage Messiah,64,2007,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
83,Falloch,62,2010,2010,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
84,Xentrix,61,1985,1985,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
85,Raven,59,1974,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
86,Witchfinder General,58,1979,1979,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
87,Architects,57,2004,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
88,Asking Alexandria,56,2008,2008,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
89,Cerebral Bore,53,2006,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
90,Dragged Into Sunlight,53,2006,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
91,The Meads Of Asphodel,52,1998,1998,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
92,Pagan Altar,50,1978,1978,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
93,Slugdge,50,2012,2012,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
94,Tank,49,1980,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
95,Cancer,47,1987,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
96,Anterior,46,2003,2012,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
97,Lock Up,46,1998,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
98,Waylander,44,1993,1993,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
99,Abyssal,43,2011,2011,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
100,Skindred,43,1999,1999,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
101,Mithras,41,1998,1998,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
102,Man Must Die,40,2002,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
103,Budgie,39,1967,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
104,Girlschool,38,1975,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
105,Hecate Enthroned,38,1993,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
106,Uncle Acid & The Deadbeats,38,2009,2009,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
107,Arena,36,1995,1995,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
108,Chimp Spanner,36,2004,2004,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
109,Monuments,36,2006,2006,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
110,Pythia,34,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
111,Tygers Of Pan Tang,34,1978,1978,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
112,Eye Of Solitude,33,2010,2010,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
113,The Exploited,33,1979,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
114,Code,30,1998,1998,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
115,Extreme Noise Terror,30,1985,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
116,Solstice,30,1990,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
117,Biomechanical,28,2001,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
118,The Axis Of Perdition,28,2002,2013,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
119,Ingested,27,2004,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
120,The Haarp Machine,27,2007,2007,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
121,Therapy?,27,1989,-,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
122,Blitzkrieg,25,1980,1980,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
123,Christopher Lee,25,2009,2009,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
124,The Prophecy,25,2001,2001,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524
